Date,ReleaseType
2022-01-07 08:30:00,NFP
2022-01-12 08:30:00,CPI
2022-01-26 14:00:00,FOMC
2022-02-04 08:30:00,NFP
2022-02-10 08:30:00,CPI
2022-03-04 08:30:00,NFP
2022-03-10 08:30:00,CPI
2022-03-16 14:00:00,FOMC
2022-04-01 08:30:00,NFP
2022-04-12 08:30:00,CPI
2022-05-04 14:00:00,FOMC
2022-05-06 08:30:00,NFP
2022-05-11 08:30:00,CPI
2022-06-03 08:30:00,NFP
2022-06-10 08:30:00,CPI
2022-06-15 14:00:00,FOMC
2022-07-08 08:30:00,NFP
2022-07-13 08:30:00,CPI
2022-07-27 14:00:00,FOMC
2022-08-05 08:30:00,NFP
2022-08-10 08:30:00,CPI
2022-09-02 08:30:00,NFP
2022-09-13 08:30:00,CPI
2022-09-21 14:00:00,FOMC
2022-10-07 08:30:00,NFP
2022-10-13 08:30:00,CPI
2022-11-02 14:00:00,FOMC
2022-11-04 08:30:00,NFP
2022-11-10 08:30:00,CPI
2022-12-02 08:30:00,NFP
2022-12-13 08:30:00,CPI
2022-12-14 14:00:00,FOMC
