Date,ReleaseType
2023-01-06 08:30:00,NFP
2023-01-12 08:30:00,CPI
2023-02-01 14:00:00,FOMC
2023-02-03 08:30:00,NFP
2023-02-14 08:30:00,CPI
2023-03-10 08:30:00,NFP
2023-03-14 08:30:00,CPI
2023-03-22 14:00:00,FOMC
2023-04-07 08:30:00,NFP
2023-04-12 08:30:00,CPI
2023-05-03 14:00:00,FOMC
2023-05-05 08:30:00,NFP
2023-05-10 08:30:00,CPI
2023-06-02 08:30:00,NFP
2023-06-13 08:30:00,CPI
2023-06-14 14:00:00,FOMC
2023-07-07 08:30:00,NFP
2023-07-12 08:30:00,CPI
2023-07-26 14:00:00,FOMC
2023-08-04 08:30:00,NFP
2023-08-10 08:30:00,CPI
2023-09-01 08:30:00,NFP
2023-09-13 08:30:00,CPI
2023-09-20 14:00:00,FOMC
2023-10-06 08:30:00,NFP
2023-10-12 08:30:00,CPI
2023-11-01 14:00:00,FOMC
2023-11-03 08:30:00,NFP
2023-11-14 08:30:00,CPI
2023-12-08 08:30:00,NFP
2023-12-12 08:30:00,CPI
2023-12-13 14:00:00,FOMC
